Name,Ti,V,Mn,Fe,Co,Ni,Zr,Mo,Sn,W,CP,CM_type,CM_morph,MS2_morph,CP_morph,SSA,C,Cation,Anion,P_low,P_high,CD,Cs
rLGO-(TiS2)0.5,1,0,0,0,0,0,0,0,0,0,1,G-based,2D,irregular nanoparticles,supported,289.44,6.0,K,OH,-0.5,0.5,1.0,97.0
rLGO-TiS2,1,0,0,0,0,0,0,0,0,0,1,G-based,2D,irregular nanoparticles,supported,301.8,6.0,K,OH,-0.5,0.5,1.0,102.0
rSGO-TiS2,1,0,0,0,0,0,0,0,0,0,1,G-based,2D,irregular nanoparticles,supported,319.2,6.0,K,OH,-0.5,0.5,1.0,113.0
VS2,0,1,0,0,0,0,0,0,0,0,0,0,0,nanosheets,0,5.5,6.0,K,OH,0.0,0.5,1.0,152.0
VS2,0,1,0,0,0,0,0,0,0,0,0,0,0,nanosheets,0,5.5,6.0,K,OH,0.0,0.5,2.0,145.0
VS2,0,1,0,0,0,0,0,0,0,0,0,0,0,nanosheets,0,5.5,6.0,K,OH,0.0,0.5,5.0,136.0
VS2,0,1,0,0,0,0,0,0,0,0,0,0,0,nanosheets,0,5.5,6.0,K,OH,0.0,0.5,10.0,120.0
VS2,0,1,0,0,0,0,0,0,0,0,0,0,0,nanosheets,0,5.5,6.0,K,OH,0.0,0.5,15.0,90.0
VS2,0,1,0,0,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,15.59,2.0,K,OH,-0.1,0.45,0.2,320.7
VS2,0,1,0,0,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,15.59,2.0,K,OH,-0.1,0.45,0.5,289.9
VS2,0,1,0,0,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,15.59,2.0,K,OH,-0.1,0.45,1.0,269.7
VS2,0,1,0,0,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,15.59,2.0,K,OH,-0.1,0.45,2.0,238.4
VS2,0,1,0,0,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,15.59,2.0,K,OH,-0.1,0.45,4.0,198.7
VS2,0,1,0,0,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,15.59,2.0,K,OH,-0.1,0.45,10.0,155.8
VS2-NC,0,1,0,0,0,0,0,0,0,0,1,derived carbon-based,3D porous,irregular nanoparticles,embedded,69.72,2.0,K,OH,-0.1,0.45,0.2,836.7
VS2-NC,0,1,0,0,0,0,0,0,0,0,1,derived carbon-based,3D porous,irregular nanoparticles,embedded,69.72,2.0,K,OH,-0.1,0.45,0.5,789.8
VS2-NC,0,1,0,0,0,0,0,0,0,0,1,derived carbon-based,3D porous,irregular nanoparticles,embedded,69.72,2.0,K,OH,-0.1,0.45,1.0,702.2
VS2-NC,0,1,0,0,0,0,0,0,0,0,1,derived carbon-based,3D porous,irregular nanoparticles,embedded,69.72,2.0,K,OH,-0.1,0.45,2.0,616.5
VS2-NC,0,1,0,0,0,0,0,0,0,0,1,derived carbon-based,3D porous,irregular nanoparticles,embedded,69.72,2.0,K,OH,-0.1,0.45,4.0,468.9
VS2-NC,0,1,0,0,0,0,0,0,0,0,1,derived carbon-based,3D porous,irregular nanoparticles,embedded,69.72,2.0,K,OH,-0.1,0.45,10.0,407.3
VS2/G,0,1,0,0,0,0,0,0,0,0,1,G-based,3D special,irregular nanoparticles,supported,32.3,2.0,K,OH,0.0,0.5,1.0,211.0
VS2/G,0,1,0,0,0,0,0,0,0,0,1,G-based,3D special,irregular nanoparticles,supported,32.3,2.0,K,OH,0.0,0.5,2.0,202.56
VS2/G,0,1,0,0,0,0,0,0,0,0,1,G-based,3D special,irregular nanoparticles,supported,32.3,2.0,K,OH,0.0,0.5,10.0,170.91
VS2/G,0,1,0,0,0,0,0,0,0,0,1,G-based,3D special,irregular nanoparticles,supported,32.3,2.0,K,OH,0.0,0.5,20.0,135.04
FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,4.04,6.0,K,OH,-0.85,-0.3,0.5,163.0
FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,4.04,6.0,K,OH,-0.85,-0.3,1.0,92.0
FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,4.04,6.0,K,OH,-0.85,-0.3,2.0,82.0
FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,4.04,6.0,K,OH,-0.85,-0.3,3.0,78.0
FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,4.04,6.0,K,OH,-0.85,-0.3,5.0,75.0
FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,4.04,6.0,K,OH,-0.85,-0.3,10.0,74.0
GA-FeS2,0,0,0,1,0,0,0,0,0,0,1,G-based,2D,flower-like clusters,supported,8.39,6.0,K,OH,-0.85,-0.3,0.5,312.0
GA-FeS2,0,0,0,1,0,0,0,0,0,0,1,G-based,2D,flower-like clusters,supported,8.39,6.0,K,OH,-0.85,-0.3,1.0,288.0
GA-FeS2,0,0,0,1,0,0,0,0,0,0,1,G-based,2D,flower-like clusters,supported,8.39,6.0,K,OH,-0.85,-0.3,2.0,268.0
GA-FeS2,0,0,0,1,0,0,0,0,0,0,1,G-based,2D,flower-like clusters,supported,8.39,6.0,K,OH,-0.85,-0.3,3.0,216.0
GA-FeS2,0,0,0,1,0,0,0,0,0,0,1,G-based,2D,flower-like clusters,supported,8.39,6.0,K,OH,-0.85,-0.3,5.0,200.0
GA-FeS2,0,0,0,1,0,0,0,0,0,0,1,G-based,2D,flower-like clusters,supported,8.39,6.0,K,OH,-0.85,-0.3,10.0,172.0
FeS2@C@MoS2-200,0,0,0,1,0,0,0,1,0,0,1,derived carbon-based,3D special,flower-like clusters,coated,94.7,6.0,K,OH,0.0,0.4,2.0,1325.0
FeS2@C@MoS2-200,0,0,0,1,0,0,0,1,0,0,1,derived carbon-based,3D special,flower-like clusters,coated,94.7,6.0,K,OH,0.0,0.4,4.0,1138.0
FeS2@C@MoS2-200,0,0,0,1,0,0,0,1,0,0,1,derived carbon-based,3D special,flower-like clusters,coated,94.7,6.0,K,OH,0.0,0.4,6.0,1012.0
FeS2@C@MoS2-200,0,0,0,1,0,0,0,1,0,0,1,derived carbon-based,3D special,flower-like clusters,coated,94.7,6.0,K,OH,0.0,0.4,8.0,904.0
FeS2@C@MoS2-200,0,0,0,1,0,0,0,1,0,0,1,derived carbon-based,3D special,flower-like clusters,coated,94.7,6.0,K,OH,0.0,0.4,10.0,719.0
FeS2/NSG,0,0,0,1,0,0,0,0,0,0,1,G-based,2D,irregular nanoparticles,supported,218.4,6.0,K,OH,-0.6,0.0,1.0,529.0
FeS2/NSG,0,0,0,1,0,0,0,0,0,0,1,G-based,2D,irregular nanoparticles,supported,218.4,6.0,K,OH,-0.6,0.0,2.0,481.0
FeS2/NSG,0,0,0,1,0,0,0,0,0,0,1,G-based,2D,irregular nanoparticles,supported,218.4,6.0,K,OH,-0.6,0.0,5.0,443.0
FeS2/NSG,0,0,0,1,0,0,0,0,0,0,1,G-based,2D,irregular nanoparticles,supported,218.4,6.0,K,OH,-0.6,0.0,10.0,401.0
FeS2/NSG,0,0,0,1,0,0,0,0,0,0,1,G-based,2D,irregular nanoparticles,supported,218.4,6.0,K,OH,-0.6,0.0,20.0,349.0
NSA-FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,39.8,1.0,Na,SO3,-1.0,0.0,0.5,763.0
NSA-FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,39.8,1.0,Na,SO3,-1.0,0.0,1.0,720.0
NSA-FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,39.8,1.0,Na,SO3,-1.0,0.0,2.0,590.0
NSA-FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,39.8,1.0,Na,SO3,-1.0,0.0,3.0,429.0
NSA-FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,39.8,1.0,Na,SO3,-1.0,0.0,4.0,240.0
NSA-FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,39.8,1.0,Na,SO3,-1.0,0.0,5.0,105.0
MoS2,0,0,0,0,0,0,0,1,0,0,0,0,0,flower-like clusters,0,24.0,6.0,K,OH,0.0,1.0,1.0,216.0
MoS2,0,0,0,0,0,0,0,1,0,0,0,0,0,flower-like clusters,0,24.0,6.0,K,OH,0.0,1.0,2.0,160.0
MoS2,0,0,0,0,0,0,0,1,0,0,0,0,0,flower-like clusters,0,24.0,6.0,K,OH,0.0,1.0,3.0,140.0
MoS2,0,0,0,0,0,0,0,1,0,0,0,0,0,flower-like clusters,0,24.0,6.0,K,OH,0.0,1.0,4.0,121.0
MoS2,0,0,0,0,0,0,0,1,0,0,0,0,0,flower-like clusters,0,24.0,6.0,K,OH,0.0,1.0,5.0,109.0
MoS2,0,0,0,0,0,0,0,1,0,0,0,0,0,flower-like clusters,0,24.0,6.0,K,OH,0.0,1.0,7.0,86.0
MoS2@FeS2,0,0,0,1,0,0,0,1,0,0,0,0,0,core-shell nanoparticles,0,43.0,6.0,K,OH,0.0,1.0,1.0,386.0
MoS2@FeS2,0,0,0,1,0,0,0,1,0,0,0,0,0,core-shell nanoparticles,0,43.0,6.0,K,OH,0.0,1.0,2.0,274.0
MoS2@FeS2,0,0,0,1,0,0,0,1,0,0,0,0,0,core-shell nanoparticles,0,43.0,6.0,K,OH,0.0,1.0,3.0,230.0
MoS2@FeS2,0,0,0,1,0,0,0,1,0,0,0,0,0,core-shell nanoparticles,0,43.0,6.0,K,OH,0.0,1.0,4.0,179.0
MoS2@FeS2,0,0,0,1,0,0,0,1,0,0,0,0,0,core-shell nanoparticles,0,43.0,6.0,K,OH,0.0,1.0,5.0,163.0
MoS2@FeS2,0,0,0,1,0,0,0,1,0,0,0,0,0,core-shell nanoparticles,0,43.0,6.0,K,OH,0.0,1.0,7.0,154.0
FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,23.8,2.0,K,OH,-1.1,0.0,1.0,471.0
FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,23.8,2.0,K,OH,-1.1,0.0,2.0,398.0
FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,23.8,2.0,K,OH,-1.1,0.0,3.0,369.0
FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,23.8,2.0,K,OH,-1.1,0.0,5.0,356.0
FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,23.8,2.0,K,OH,-1.1,0.0,10.0,335.0
FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,23.8,2.0,K,OH,-1.1,0.0,15.0,321.0
FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,23.8,2.0,K,OH,-1.1,0.0,20.0,307.0
30% FeS2/3DPC,0,0,0,1,0,0,0,0,0,0,1,derived carbon-based,3D porous,irregular nanoparticles,embedded,17.37,1.0,K,OH,-1.2,-0.2,2.0,228.0
30% FeS2/3DPC,0,0,0,1,0,0,0,0,0,0,1,derived carbon-based,3D porous,irregular nanoparticles,embedded,17.37,1.0,K,OH,-1.2,-0.2,4.0,170.0
30% FeS2/3DPC,0,0,0,1,0,0,0,0,0,0,1,derived carbon-based,3D porous,irregular nanoparticles,embedded,17.37,1.0,K,OH,-1.2,-0.2,6.0,140.0
30% FeS2/3DPC,0,0,0,1,0,0,0,0,0,0,1,derived carbon-based,3D porous,irregular nanoparticles,embedded,17.37,1.0,K,OH,-1.2,-0.2,8.0,119.0
30% FeS2/3DPC,0,0,0,1,0,0,0,0,0,0,1,derived carbon-based,3D porous,irregular nanoparticles,embedded,17.37,1.0,K,OH,-1.2,-0.2,10.0,91.0
50% FeS2/3DPC,0,0,0,1,0,0,0,0,0,0,1,derived carbon-based,3D porous,irregular nanoparticles,embedded,27.36,1.0,K,OH,-1.2,-0.2,2.0,303.0
50% FeS2/3DPC,0,0,0,1,0,0,0,0,0,0,1,derived carbon-based,3D porous,irregular nanoparticles,embedded,27.36,1.0,K,OH,-1.2,-0.2,4.0,235.0
50% FeS2/3DPC,0,0,0,1,0,0,0,0,0,0,1,derived carbon-based,3D porous,irregular nanoparticles,embedded,27.36,1.0,K,OH,-1.2,-0.2,6.0,210.0
50% FeS2/3DPC,0,0,0,1,0,0,0,0,0,0,1,derived carbon-based,3D porous,irregular nanoparticles,embedded,27.36,1.0,K,OH,-1.2,-0.2,8.0,192.0
50% FeS2/3DPC,0,0,0,1,0,0,0,0,0,0,1,derived carbon-based,3D porous,irregular nanoparticles,embedded,27.36,1.0,K,OH,-1.2,-0.2,10.0,176.0
80% FeS2/3DPC,0,0,0,1,0,0,0,0,0,0,1,derived carbon-based,3D porous,irregular nanoparticles,embedded,11.0,1.0,K,OH,-1.2,-0.2,2.0,105.0
80% FeS2/3DPC,0,0,0,1,0,0,0,0,0,0,1,derived carbon-based,3D porous,irregular nanoparticles,embedded,11.0,1.0,K,OH,-1.2,-0.2,4.0,84.0
80% FeS2/3DPC,0,0,0,1,0,0,0,0,0,0,1,derived carbon-based,3D porous,irregular nanoparticles,embedded,11.0,1.0,K,OH,-1.2,-0.2,6.0,74.0
80% FeS2/3DPC,0,0,0,1,0,0,0,0,0,0,1,derived carbon-based,3D porous,irregular nanoparticles,embedded,11.0,1.0,K,OH,-1.2,-0.2,8.0,63.0
80% FeS2/3DPC,0,0,0,1,0,0,0,0,0,0,1,derived carbon-based,3D porous,irregular nanoparticles,embedded,11.0,1.0,K,OH,-1.2,-0.2,10.0,60.0
FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,3.6,2.0,K,OH,-1.1,0.0,3.0,459.0
FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,3.6,2.0,K,OH,-1.1,0.0,5.0,372.0
FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,3.6,2.0,K,OH,-1.1,0.0,10.0,309.0
FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,3.6,2.0,K,OH,-1.1,0.0,15.0,299.0
FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,3.6,2.0,K,OH,-1.1,0.0,20.0,289.0
FeS2,0,0,0,1,0,0,0,0,0,0,0,0,0,irregular nanoparticles,0,3.6,2.0,K,OH,-1.1,0.0,30.0,269.0
FeS2/GNS,0,0,0,1,0,0,0,0,0,0,1,G-based,2D,irregular nanoparticles,supported,135.0,2.0,K,OH,-1.1,0.0,3.0,721.0
FeS2/GNS,0,0,0,1,0,0,0,0,0,0,1,G-based,2D,irregular nanoparticles,supported,135.0,2.0,K,OH,-1.1,0.0,5.0,650.0
FeS2/GNS,0,0,0,1,0,0,0,0,0,0,1,G-based,2D,irregular nanoparticles,supported,135.0,2.0,K,OH,-1.1,0.0,10.0,621.0
FeS2/GNS,0,0,0,1,0,0,0,0,0,0,1,G-based,2D,irregular nanoparticles,supported,135.0,2.0,K,OH,-1.1,0.0,15.0,617.0
FeS2/GNS,0,0,0,1,0,0,0,0,0,0,1,G-based,2D,irregular nanoparticles,supported,135.0,2.0,K,OH,-1.1,0.0,20.0,614.0
FeS2/GNS,0,0,0,1,0,0,0,0,0,0,1,G-based,2D,irregular nanoparticles,supported,135.0,2.0,K,OH,-1.1,0.0,30.0,589.0
PFSG,0,0,0,1,0,0,0,0,0,0,1,G-based,2D,rods,supported,165.0,2.0,K,OH,-1.1,0.0,3.0,769.0
PFSG,0,0,0,1,0,0,0,0,0,0,1,G-based,2D,rods,supported,165.0,2.0,K,OH,-1.1,0.0,5.0,708.0
PFSG,0,0,0,1,0,0,0,0,0,0,1,G-based,2D,rods,supported,165.0,2.0,K,OH,-1.1,0.0,10.0,637.0
PFSG,0,0,0,1,0,0,0,0,0,0,1,G-based,2D,rods,supported,165.0,2.0,K,OH,-1.1,0.0,15.0,587.0
PFSG,0,0,0,1,0,0,0,0,0,0,1,G-based,2D,rods,supported,165.0,2.0,K,OH,-1.1,0.0,20.0,570.0
PFSG,0,0,0,1,0,0,0,0,0,0,1,G-based,2D,rods,supported,165.0,2.0,K,OH,-1.1,0.0,30.0,555.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,hollow spheres,0,127.6,2.0,K,OH,-0.1,0.4,1.0,1301.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,hollow spheres,0,127.6,2.0,K,OH,-0.1,0.4,2.5,1073.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,hollow spheres,0,127.6,2.0,K,OH,-0.1,0.4,5.0,883.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,hollow spheres,0,127.6,2.0,K,OH,-0.1,0.4,10.0,650.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,hollow spheres,0,127.6,2.0,K,OH,-0.1,0.4,20.0,450.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,double shell spheres,0,98.3,2.0,K,OH,-0.1,0.4,1.0,1180.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,double shell spheres,0,98.3,2.0,K,OH,-0.1,0.4,2.5,952.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,double shell spheres,0,98.3,2.0,K,OH,-0.1,0.4,5.0,733.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,double shell spheres,0,98.3,2.0,K,OH,-0.1,0.4,10.0,531.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,double shell spheres,0,98.3,2.0,K,OH,-0.1,0.4,20.0,339.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,yolk-shell spheres,0,65.1,2.0,K,OH,-0.1,0.4,1.0,1079.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,yolk-shell spheres,0,65.1,2.0,K,OH,-0.1,0.4,2.5,883.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,yolk-shell spheres,0,65.1,2.0,K,OH,-0.1,0.4,5.0,681.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,yolk-shell spheres,0,65.1,2.0,K,OH,-0.1,0.4,10.0,471.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,yolk-shell spheres,0,65.1,2.0,K,OH,-0.1,0.4,20.0,271.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,spheres,0,41.5,2.0,K,OH,-0.1,0.4,1.0,899.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,spheres,0,41.5,2.0,K,OH,-0.1,0.4,2.5,733.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,spheres,0,41.5,2.0,K,OH,-0.1,0.4,5.0,583.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,spheres,0,41.5,2.0,K,OH,-0.1,0.4,10.0,388.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,spheres,0,41.5,2.0,K,OH,-0.1,0.4,20.0,221.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,bulk,0,3.2,2.0,K,OH,-0.1,0.4,1.0,624.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,bulk,0,3.2,2.0,K,OH,-0.1,0.4,2.5,495.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,bulk,0,3.2,2.0,K,OH,-0.1,0.4,5.0,345.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,bulk,0,3.2,2.0,K,OH,-0.1,0.4,10.0,212.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,bulk,0,3.2,2.0,K,OH,-0.1,0.4,20.0,93.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,octahedron,0,17.46,2.0,K,OH,-0.1,0.5,1.0,236.5
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,octahedron,0,17.46,2.0,K,OH,-0.1,0.5,2.0,225.3
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,octahedron,0,17.46,2.0,K,OH,-0.1,0.5,5.0,203.3
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,octahedron,0,17.46,2.0,K,OH,-0.1,0.5,10.0,175.0
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,octahedron,0,17.46,2.0,K,OH,-0.1,0.5,15.0,152.5
CoS2,0,0,0,0,1,0,0,0,0,0,0,0,0,irregular nanoparticles,0,21.0,2.0,K,OH,0.0,0.4,2.0,624.1
CoS2/RGO-2,0,0,0,0,1,0,0,0,0,0,1,G-based,2D,irregular nanoparticles,coated,93.0,2.0,K,OH,0.0,0.4,2.0,929.0
CoS2/RGO-2,0,0,0,0,1,0,0,0,0,0,1,G-based,2D,irregular nanoparticles,coated,93.0,2.0,K,OH,0.0,0.4,4.0,855.0
CoS2/RGO-2,0,0,0,0,1,0,0,0,0,0,1,G-based,2D,irregular nanoparticles,coated,93.0,2.0,K,OH,0.0,0.4,8.0,798.0
CoS2/RGO-2,0,0,0,0,1,0,0,0,0,0,1,G-based,2D,irregular nanoparticles,coated,93.0,2.0,K,OH,0.0,0.4,14.0,713.0
CoS2/RGO-2,0,0,0,0,1,0,0,0,0,0,1,G-based,2D,irregular nanoparticles,coated,93.0,2.0,K,OH,0.0,0.4,20.0,677.0
CoS2@ETA-2,0,0,0,0,1,0,0,0,0,0,0,0,0,flower-like clusters,0,66.416,2.0,K,OH,-0.1,0.5,1.0,718.7
CoS2@ETA-2,0,0,0,0,1,0,0,0,0,0,0,0,0,flower-like clusters,0,66.416,2.0,K,OH,-0.1,0.5,2.0,696.7
CoS2@ETA-2,0,0,0,0,1,0,0,0,0,0,0,0,0,flower-like clusters,0,66.416,2.0,K,OH,-0.1,0.5,5.0,620.8
CoS2@ETA-2,0,0,0,0,1,0,0,0,0,0,0,0,0,flower-like clusters,0,66.416,2.0,K,OH,-0.1,0.5,10.0,536.7
CoS2@ETA-2,0,0,0,0,1,0,0,0,0,0,0,0,0,flower-like clusters,0,66.416,2.0,K,OH,-0.1,0.5,20.0,476.7
CoS2@ETA-4,0,0,0,0,1,0,0,0,0,0,0,0,0,flower-like clusters,0,46.204,2.0,K,OH,-0.1,0.5,1.0,554.0
CoS2@ETA-4,0,0,0,0,1,0,0,0,0,0,0,0,0,flower-like clusters,0,46.204,2.0,K,OH,-0.1,0.5,2.0,540.0
CoS2@ETA-4,0,0,0,0,1,0,0,0,0,0,0,0,0,flower-like clusters,0,46.204,2.0,K,OH,-0.1,0.5,5.0,497.0
CoS2@ETA-4,0,0,0,0,1,0,0,0,0,0,0,0,0,flower-like clusters,0,46.204,2.0,K,OH,-0.1,0.5,10.0,469.0
CoS2@ETA-4,0,0,0,0,1,0,0,0,0,0,0,0,0,flower-like clusters,0,46.204,2.0,K,OH,-0.1,0.5,20.0,417.0
CoS2@ETA-1,0,0,0,0,1,0,0,0,0,0,0,0,0,spheres,0,3.31,2.0,K,OH,-0.1,0.5,1.0,180.0
CoS2@ETA-1,0,0,0,0,1,0,0,0,0,0,0,0,0,spheres,0,3.31,2.0,K,OH,-0.1,0.5,2.0,167.0
CoS2@ETA-1,0,0,0,0,1,0,0,0,0,0,0,0,0,spheres,0,3.31,2.0,K,OH,-0.1,0.5,5.0,143.0
CoS2@ETA-1,0,0,0,0,1,0,0,0,0,0,0,0,0,spheres,0,3.31,2.0,K,OH,-0.1,0.5,10.0,115.0
CoS2@ETA-1,0,0,0,0,1,0,0,0,0,0,0,0,0,spheres,0,3.31,2.0,K,OH,-0.1,0.5,20.0,78.0
CoS2 NCs,0,0,0,0,1,0,0,0,0,0,0,0,0,irregular nanoparticles,0,29.3,2.0,K,OH,-0.2,0.45,0.5,654.0
CoS2 NCs,0,0,0,0,1,0,0,0,0,0,0,0,0,irregular nanoparticles,0,29.3,2.0,K,OH,-0.2,0.45,1.0,595.0
CoS2 NCs,0,0,0,0,1,0,0,0,0,0,0,0,0,irregular nanoparticles,0,29.3,2.0,K,OH,-0.2,0.45,5.0,499.0
Co-S-200,0,0,0,0,1,0,0,0,0,0,0,0,0,irregular nanoparticles,0,36.31,6.0,K,OH,0.0,0.4,0.5,996.16
Co-S-200,0,0,0,0,1,0,0,0,0,0,0,0,0,irregular nanoparticles,0,36.31,6.0,K,OH,0.0,0.4,1.0,986.95
Co-S-200,0,0,0,0,1,0,0,0,0,0,0,0,0,irregular nanoparticles,0,36.31,6.0,K,OH,0.0,0.4,2.0,979.9
Co-S-200,0,0,0,0,1,0,0,0,0,0,0,0,0,irregular nanoparticles,0,36.31,6.0,K,OH,0.0,0.4,3.0,972.75
Co-S-200,0,0,0,0,1,0,0,0,0,0,0,0,0,irregular nanoparticles,0,36.31,6.0,K,OH,0.0,0.4,4.0,966.0
Co-S-200,0,0,0,0,1,0,0,0,0,0,0,0,0,irregular nanoparticles,0,36.31,6.0,K,OH,0.0,0.4,5.0,957.5
Co-S-280,0,0,0,0,1,0,0,0,0,0,0,0,0,irregular nanoparticles,0,13.09,6.0,K,OH,0.0,0.4,0.5,354.13
